id;asin;product_title;product_price;product_original_price;currency;product_star_rating;product_num_ratings;product_url;product_photo;product_num_offers;product_minimum_offer_price;is_best_seller;is_amazon_choice;is_prime;climate_pledge_friendly;sales_volume;delivery;coupon_text
1;notwithstanding material considering;disgusting;passenger;fully;intensely;noxious flour under;15537;feature;gadzooks macerate;25312;jovially provided;false;true;false;true;guffaw ecliptic;near lysine male;per
2;wholly near;immaterial vastly whoever;bashfully er;gee for until;likewise;consequently offload outside;9738;frantically whoever;finally;23865;sour gosh scarce;false;false;true;true;permit;until;unequaled
3;recess through dreamily;weight;ouch whip;stalk;properly;incidentally questioner despite;16551;what unabashedly if;aw reprocessing acculturate;10739;haze but fatally;false;true;true;true;organization indeed;tan order;encamp forked regularly
4;sanction phew;like uh-huh gee;mutate ick;meanwhile likewise;silent since;ew;5385;video;vote knife-edge;26313;which;false;false;true;false;past;hmph sinful;till
5;monthly mmm recklessly;liquid football where;investigation including;how;until near about;afore weighty;19237;generalize now;ick fiercely bah;8548;apricot yuck;false;false;false;true;clever;now whoever;why beside
6;since;truthfully;failing;geez repayment ew;far angrily;whenever;14930;notwithstanding kissingly;or;9897;hive foolhardy drat;true;false;true;false;towards failing tart;emotional meh however;rank woot
7;celsius frantically across;after hmph whenever;gee thump;finally;cliff;since what;10604;yippee lazy;jubilantly by;18174;answer;false;false;false;false;vanilla merrily;now briefly;repeatedly scrape as
8;athwart carelessly;live radiant adventurously;by until;ew;on indelible;crossly heavenly;1685;doss buzzard;except bah standard;16526;anenst lively painfully;true;false;false;false;which unsteady;incise besides pro;voting
9;complicated cloak boo;extremely;hearten unexpectedly;tippex always;reaction hmph;turnover oh;15968;ah yippee passive;confused anguished supposing;15218;tenderly kosher;false;false;true;true;briefly blah likewise;imperfect studious;whoever naughty
10;venison oh;flawless;pitiful gah someone;jasmine;commonly particle;unfit repulsive fondly;25546;deviation pace eicosanoid;where crown utter;31611;finally trench courtroom;true;true;false;false;whether bludge for;pertinent phew;illusion enfranchise
